Tipo,Slot,Grupo,Ruta,Nombre,Main Algorithm,Alternative Algorithm,Alternative Algorithm 2,Target Slot,Set Up
Basic Algorithms,Front Left,Corner In Slot,F2L29_Front Left.png,F2L29,(L' U' L U) (L' U' L),U (L' U2 L) U2 (L' U' L),,,(L' U L) (U' L' U L)
Basic Algorithms,Front Left,Corner In Slot,F2L30_Front Left.png,F2L30,(L F' L' F) (U' L' U L),y' (R U R' U') (R U R'),,,(L' U' L U) (F' L F L')
Basic Algorithms,Front Left,Edge In Slot,F2L31_Front Left.png,F2L31,U (L F' L' F) (L' U L),(L' U L U') y (L U' L'),,,(L' U' L) (F' L F L') U'
Basic Algorithms,Front Left,Edge In Slot,F2L32_Front Left.png,F2L32,(U' L' U L) (U' L' U L) (U' L' U L),U (L' U L U') (L' U2 L) (U L' U' L),,,(L' U' L U) (L' U' L U) (L' U' L U)
Basic Algorithms,Front Left,Edge In Slot,F2L33_Front Left.png,F2L33,R' D (R U' R') D' R,U (L' U2 L) U' (L' U' L),,,R' D (R U R') D' R
Basic Algorithms,Front Left,Edge In Slot,F2L34_Front Left.png,F2L34,(U L' U L) U2 (L' U L),U (L' U L U) (L' U2 L),,,(L' U' L) U2 (L' U' L U')
Basic Algorithms,Front Left,Edge In Slot,F2L35_Front Left.png,F2L35,U2 (F U F') (U' L' U L),U' F (R' F R F') U F',,,(L' U' L U) F U' F' U2
Basic Algorithms,Front Left,Edge In Slot,F2L36_Front Left.png,F2L36,(U L' U' L) d' (L U L'),U2 (L' U' L) (F' L F L'),,,(L U' L') d (L' U L U')
Basic Algorithms,Front Left,Pieces In Slot,F2L37_Front Left.png,F2L37,L2 U2 F' L2 F U2 L U' L,(L' U2 L) U' (L' U2 L) U' (F U F'),,,L' U L' U2 F' L2 F U2 L2
Basic Algorithms,Front Left,Pieces In Slot,F2L38_Front Left.png,F2L38,(L' U L U') (L' U2 L) (U' L' U L),F (R U2 R') (U' R U R') U2 F',,,(L' U' L U) (L' U2 L) (U L' U' L)
Basic Algorithms,Front Left,Pieces In Slot,F2L39_Front Left.png,F2L39,(L' U' L U) (L' U2 L) (U L' U' L),F' L F L2 U2 L (U L' U' L),,,(L' U L U') (L' U2 L) (U' L' U L)
Basic Algorithms,Front Left,Pieces In Slot,F2L40_Front Left.png,F2L40,(L' U L) F (R U2 R') F',(L' U L) R' F (R U2 R') F' R,,,F (R U2 R') F' (L' U' L)
Basic Algorithms,Front Left,Pieces In Slot,F2L41_Front Left.png,F2L41,(l' U l) U2 (l' U' l) (L' U' L),(L' U L U) (L' U L U') y' (R U R'),,,(L' U L) (l' U l) U2 (l' U' l)
Basic Algorithms,Front Left,Pieces In Slot,F2L42_Front Left.png,F2L42,It's ready,,,,It's ready
Basic Algorithms,Back Right,Free Pairs,F2L1_Back Right.png,F2L1,U (f R' f'),(r' U' R U M'),,,(f R f') U'
Basic Algorithms,Back Right,Free Pairs,F2L2_Back Right.png,F2L2,U' (R' U R),R (f' U' f),,,(R' U' R) U
Basic Algorithms,Back Right,Free Pairs,F2L3_Back Right.png,F2L3,(R' U' R),U2 r' (R' F R F') r,,,(R' U R)
Basic Algorithms,Back Right,Free Pairs,F2L4_Back Right.png,F2L4,(f R f'),y (R U R'),,,(f R' f')
Basic Algorithms,Back Right,Disconnected Pairs,F2L5_Back Right.png,F2L5,U' R' F (R U R' U') F' R,U r' (U R U' R') U' r,,,R' F (U R U' R') F' R U
Basic Algorithms,Back Right,Disconnected Pairs,F2L6_Back Right.png,F2L6,(U R' U' R) U2 (R' U R),U R' (U' R U R') U2 R,,,(R' U' R) U2 (R' U R U')
Basic Algorithms,Back Right,Disconnected Pairs,F2L7_Back Right.png,F2L7,r U2 R2 U' R2 U' r',F R U R2 U' R F',,,r U R2 U R2 U2 r'
Basic Algorithms,Back Right,Disconnected Pairs,F2L8_Back Right.png,F2L8,U (R' U2 R) U (R' U2 R),U R' U2 (R U2 R') U R,,,(R' U2 R) U' (R' U2 R) U'
Basic Algorithms,Back Right,Disconnected Pairs,F2L9_Back Right.png,F2L9,U R' U' (R U' R' U') R,R' (U R U' R') U' (R U2 R') U R,,,R' U (R U R' U) R U'
Basic Algorithms,Back Right,Disconnected Pairs,F2L10_Back Right.png,F2L10,U (R' U R U') (f R f'),y U' (R U R' U) (R U R'),,,(f R' f') U (R' U' R U')
Basic Algorithms,Back Right,Disconnected Pairs,F2L11_Back Right.png,F2L11,y U (R U2 R') (U R U' R'),U R' F' U2 F (R U R' U') R,,,(R U R' U') (R U2 R' U') y'
Basic Algorithms,Back Right,Disconnected Pairs,F2L12_Back Right.png,F2L12,U' R' U2 (R U' R' U) R,R' (U R U' R') (U R U' R') U' R,,,R' (U' R U R') U2 R U
Basic Algorithms,Back Right,Disconnected Pairs,F2L13_Back Right.png,F2L13,r' U r U2 r' U' r,y' U2 L U (L' U L U') L',,,r' U r U2 r' U' r
Basic Algorithms,Back Right,Disconnected Pairs,F2L14_Back Right.png,F2L14,R' U (R U2 R' U') R,U2 R' U' (R U' R' U) R,,,R' U (R U2 R' U') R
Basic Algorithms,Back Right,Connected Pairs,F2L15_Back Right.png,F2L15,R' (U R U' R') U (R U2 R') U R,R' (U R U' R') U R U (R' U2 R),,,R' U' (R U2 R' U') (R U R' U') R
Basic Algorithms,Back Right,Connected Pairs,F2L16_Back Right.png,F2L16,U (R' U2 R) U' (f R f'),f R' U R2 U' R2 f',,,(f R' f') U (R' U2 R) U'
Basic Algorithms,Back Right,Connected Pairs,F2L17_Back Right.png,F2L17,U R' (U R U' R') U' R,U R' (U R U' R') U (R U R' U) R,,,R' U (R U R' U') R U'
Basic Algorithms,Back Right,Connected Pairs,F2L18_Back Right.png,F2L18,y U' (R U' R' U) (R U R'),d' (R U' R' U) (R U R'),,,(R U' R' U') (R U R' U) y'
Basic Algorithms,Back Right,Connected Pairs,F2L19_Back Right.png,F2L19,(R' U R) U2 (f R f'),R2 F R F' R U (R' U2 R),,,(f R' f') U2 (R' U' R)
Basic Algorithms,Back Right,Connected Pairs,F2L20_Back Right.png,F2L20,R' U' (R U2 R') (U R U' R') U R,M' U' r' U r U M,,,R' U' (R U R' U') (R U2 R') U R
Basic Algorithms,Back Right,Connected Pairs,F2L21_Back Right.png,F2L21,y' L U2 (L' U' L U) L',y (R U2 R') (U' R U R'),,,L (U' L' U L) U2 L' y
Basic Algorithms,Back Right,Connected Pairs,F2L22_Back Right.png,F2L22,R' U2 (R U R' U') R,,,,R' (U R U' R') U2 R
Basic Algorithms,Back Right,Connected Pairs,F2L23_Back Right.png,F2L23,U R' F R' F' R2 U' (R' U R),U2 l' (U' L U' L') U2 B' l,,,(R' U' R) U R2 F R F' R U'
Basic Algorithms,Back Right,Connected Pairs,F2L24_Back Right.png,F2L24,R' U' (R U2 R' U') (R U R' U') R,U2 R2 U2 (R U R' U) R2,,,R' (U R U' R') U (R U2 R') U R
Basic Algorithms,Back Right,Corner In Slot,F2L25_Back Right.png,F2L25,U' R' U M U' R U M',R' S' (R U' R') S R,,,M U' R' U M' U' R U
Basic Algorithms,Back Right,Corner In Slot,F2L26_Back Right.png,F2L26,R' U (R U R') (U R U' R') U' R,R U R (U R U' R') U' R',,,R' U (R U R' U') (R U' R' U') R
Basic Algorithms,Back Right,Corner In Slot,F2L27_Back Right.png,F2L27,R' U2 (R' F R F') R,(R' U' R) U (r' U' R U M'),,,R' (F R' F' R) U2 R
Basic Algorithms,Back Right,Corner In Slot,F2L28_Back Right.png,F2L28,R' (U R U' R') U R,,,,R' U' (R U R' U') R
Basic Algorithms,Back Right,Corner In Slot,F2L29_Back Right.png,F2L29,R' U' (R U R' U') R,U R' U2 (R U2 R' U') R,,,R' (U R U' R') U R
Basic Algorithms,Back Right,Corner In Slot,F2L30_Back Right.png,F2L30,y' L U (L' U' L U) L',(f R f') U' (f R f'),,,L (U' L' U L) U' L' y
Basic Algorithms,Back Right,Edge In Slot,F2L31_Back Right.png,F2L31,R' U (R' F R F') R,(f R' f') (U R' U R),,,R' (F R' F' R) U' R
Basic Algorithms,Back Right,Edge In Slot,F2L32_Back Right.png,F2L32,U' R' (U R U' R') (U R U' R') U R,R' U' (R U R' U') (R U R' U') R,,,R' U' (R U R' U') (R U R' U') R U
Basic Algorithms,Back Right,Edge In Slot,F2L33_Back Right.png,F2L33,U' R D (R' U R) D' R',U' R' U' (R U2 R' U') R,,,R D (R' U' R) D' R' U
Basic Algorithms,Back Right,Edge In Slot,F2L34_Back Right.png,F2L34,(U R' U R) U (R' U2 R),U f R2 U R2 U' f',,,R' U2 (R U' R' U') R U'
Basic Algorithms,Back Right,Edge In Slot,F2L35_Back Right.png,F2L35,U' (f R f') (U R' U' R),R' (F R' F' R) (U R U' R') U' R,,,(R' U R U') (f R' f') U
Basic Algorithms,Back Right,Edge In Slot,F2L36_Back Right.png,F2L36,U2 R' (U' R U R') (F' U' F) R,U R' (F R' F' R) U' R,,,R' F' U F (R U' R' U) R U2
Basic Algorithms,Back Right,Pieces In Slot,F2L37_Back Right.png,F2L37,(R' U R) r U2 R2 U' R2 U' r',(R' U2 R) U' (R' U2 R) U' (f R f'),,,r U R2 U R2 U2 r' (R' U' R)
Basic Algorithms,Back Right,Pieces In Slot,F2L38_Back Right.png,F2L38,R' U' (R U2 R') (U R U' R') U' R,R' (U R U' R') U2 (R U' R' U) R,,,R' U (R U R' U') (R U2 R') U R
Basic Algorithms,Back Right,Pieces In Slot,F2L39_Back Right.png,F2L39,R' (U' R U R') U2 (R U R' U') R,R' U (R U R' U') (R U2 R') U R,,,R' (U R U' R') U2 (R U' R' U) R
Basic Algorithms,Back Right,Pieces In Slot,F2L40_Back Right.png,F2L40,(R' U R) r' U r U2 r' U' r,(R' U R) f U R2 U' f',,,r' U r U2 r' U' r (R' U' R)
Basic Algorithms,Back Right,Pieces In Slot,F2L41_Back Right.png,F2L41,r' U r U2 r' U' r (R' U' R),R' U R' U' F' U F R2,,,(R' U R) r' U r U2 r' U' r
Basic Algorithms,Back Right,Pieces In Slot,F2L42_Back Right.png,F2L42,It's ready,,,,It's ready
Basic Algorithms,Back Left,Free Pairs,F2L1_Back Left.png,F2L1,U (L U' L'),U2 (L U2 L'),,,(L U L') U'
Basic Algorithms,Back Left,Free Pairs,F2L2_Back Left.png,F2L2,(l U L' U' M'),d' (R' U R),,,M U L U' l'
Basic Algorithms,Back Left,Free Pairs,F2L3_Back Left.png,F2L3,y (R' U' R),(f' L' f),,,(R' U R) y'
Basic Algorithms,Back Left,Free Pairs,F2L4_Back Left.png,F2L4,(L U L'),r B r',,,(L U' L')
Basic Algorithms,Back Left,Disconnected Pairs,F2L5_Back Left.png,F2L5,(U' L U L') U2 (L U' L'),U' L (U L' U' L) U2 L',,,(L U L') U2 (L U' L' U)
Basic Algorithms,Back Left,Disconnected Pairs,F2L6_Back Left.png,F2L6,U (r U' r') U' L U F L',y U R' (U' R U R') U2 R,,,L F' U' L' U (r U r') U'
Basic Algorithms,Back Left,Disconnected Pairs,F2L7_Back Left.png,F2L7,U' L U2 (L' U2 L) U' L',U' (L U2 L') U' (L U2 L'),,,L U (L' U2 L) U2 L' U
